Name,SpTopt,SpTnir,SpT,GravOpt,GravNIR,Binary,Young,PS1,PS1gmag,e_PS1gmag,PS1rmag,e_PS1rmag,PS1imag,e_PS1imag,PS1zmag,e_PS1zmag,PS1ymag,e_PS1ymag,2MASS,Jmag,e_Jmag,Hmag,e_Hmag,Ksmag,e_Ksmag,AllWISE,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,Gmag,e_Gmag,RAJ2000,DEJ2000,PS1ep,Epoch,pmRA,e_pmRA,pmDE,e_pmDE,pm,e_pm,pmPA,e_pmPA,plx,e_plx,Dist,e_Dist,vtan,e_vtan
ULAS_J120323.74-015655.8   ,           ,L1               ,L1             ,     ,      ,      ,    ,J180.8489-01.9488,     ,     ,     ,     ,22.04,0.06,20.75,0.03,19.66,0.04,                 ,     ,     ,     ,     ,     ,     ,J120323.72-015656.0,16.28,0.08,16.02,0.2,12.2,     ,     ,     ,180.848939,-1.948872,2011.794442,55852.42,-36.4,21.7,-16.5,25.2,40,20.2,245.6,43.6,      ,     ,156.16,29.61,29.6,16
SDSSp_J120358.19+001550.3  ,L3         ,L5.0             ,L3             ,     ,      ,      ,    ,J180.9887+00.2631,     ,     ,21.01,0.06,18.86,0.03,17.2,0.01,16.16,0.01,J12035812+0015500,14.01,0.03,13.06,0.02,12.48,0.02,J120357.26+001547.1,11.9,0.02,11.65,0.02,11.16,0.18,     ,     ,180.988589,0.263068,2010.760164,55474.65,-1222.3,2.9,-281.8,4.1,1254.4,3,257,0.2,      ,     ,17.18,2.06,102.2,12.3
2MASS_J12042529-2806364    ,           ,M9.7FLD-G        ,M9.7FLD-G      ,     ,FLD-G ,      ,    ,J181.1049-28.1101,     ,     ,     ,     ,20.59,0.03,19.19,0.01,18.25,0.01,J12042529-2806364,16.11,0.08,15.17,0.08,14.48,0.08,J120425.19-280636.3,14.17,0.03,13.9,0.04,12.49,     ,     ,     ,181.104976,-28.110126,2010.781301,55482.37,-106.3,3.8,3.3,3,106.4,3.8,271.8,1.6,      ,     ,       ,      ,      ,     
2MASSI_J1204303+321259     ,L0         ,M9               ,L0             ,     ,      ,      ,    ,J181.1268+32.2164,22.55,0.1,20.48,0.02,18.2,0.01,16.72,0.01,15.77,0.01,J12043036+3212595,13.82,0.04,13.09,0.03,12.52,0.03,J120430.42+321259.1,12.21,0.02,11.98,0.02,11.52,0.21,18.37,0.01,181.126774,32.21643,2011.532731,55756.83,77,1.6,-28.2,1.7,82,1.6,110.1,1.2,      ,     ,26.94,4.47,10.5,1.7
ULAS_J120444.67-015034.9   ,           ,T4.5             ,T4.5           ,     ,      ,      ,    ,J181.1858-01.8429,     ,     ,     ,     ,     ,     ,     ,     ,19.54,0.04,                 ,     ,     ,     ,     ,     ,     ,J120444.60-015034.7,16.57,0.09,14.67,0.06,11.98,     ,     ,     ,181.185802,-1.84292,2011.458015,55729.54,-401.6,36.4,100.4,17.9,414,35.5,284,2.7,      ,     ,27.14,2.49,53.3,6.7
HIP_58918B                 ,           ,M7               ,M7             ,     ,      ,      ,    ,J181.2171+34.6230,21.13,0.07,20.09,0.04,17.64,0.01,16.52,0.01,15.86,0.01,J12045237+3437228,14.47,0.03,13.9,0.02,13.52,0.02,J120452.17+343723.0,13.03,0.02,12.76,0.03,12.3,0.41,     ,     ,181.217106,34.623099,2012.100315,55964.14,-291.5,2.5,19.5,1.4,292.2,2.5,273.8,0.3,17.93,1.79,55.77,5.57,77.3,7.7
SDSS_J120543.42+605728.3   ,L0         ,                 ,L0             ,     ,      ,      ,    ,J181.4298+60.9574,     ,     ,     ,     ,20.59,0.03,19.06,0.01,18.08,0.02,J12054348+6057284,16.32,0.11,15.43,0.19,15.21,0.19,J120543.23+605727.0,14.91,0.03,14.59,0.05,12.37,     ,     ,     ,181.429879,60.957435,2011.940068,55905.61,-164.1,4.4,-129.8,5,209.2,4.6,231.7,1.3,      ,     ,89.62,14.98,88.9,15
ULAS_J120545.92+084206.8   ,           ,L3:              ,L3:            ,     ,      ,      ,    ,J181.4412+08.7018,     ,     ,     ,     ,22.42,0.09,20.68,0.05,19.4,0.05,                 ,     ,     ,     ,     ,     ,     ,J120545.91+084206.6,15.1,0.04,14.87,0.07,12.38,     ,     ,     ,181.441262,8.701853,2012.225982,56010.04,-69.4,10,-29.2,9.2,75.3,9.8,247.2,7.1,      ,     ,75.72,9.4,27,4.9
SDSS_J120602.51+281328.7   ,           ,T3               ,T3             ,     ,      ,      ,    ,J181.5105+28.2244,     ,     ,     ,     ,     ,     ,20.23,0.01,18.51,0.02,J12060248+2813293,16.54,0.11,15.82,     ,15.82,     ,J120602.53+281328.4,15.21,0.04,14,0.04,12.07,     ,     ,     ,181.510506,28.224506,2010.864613,55512.8,37.8,5.6,-84.6,2.4,92.7,3.2,155.9,3.2,      ,     ,22.85,2.35,10,1.1
SDSS_J120610.49+624257.2   ,L1         ,L2.1             ,L1             ,     ,      ,      ,    ,J181.5433+62.7158,     ,     ,22.27,0.07,20.02,0.02,18.53,0.01,17.58,0.03,J12061050+6242572,15.65,0.07,14.75,0.07,13.95,0.07,J120610.41+624257.0,13.64,0.03,13.37,0.03,12.48,0.37,     ,     ,181.543381,62.715823,2011.172895,55625.4,-61.6,2.9,-27.3,2.9,67.4,2.9,246.1,2.5,      ,     ,46.02,7.65,14.7,2.5
SDSS_J120637.41-014332.2   ,L1         ,                 ,L1             ,     ,      ,      ,    ,J181.6558-01.7257,     ,     ,     ,     ,20.99,0.04,19.78,0.03,19.2,0.02,                 ,     ,     ,     ,     ,     ,     ,                   ,     ,     ,     ,     ,     ,     ,     ,     ,181.655873,-1.725757,2012.373388,56063.88,-10,9.7,-35.6,8.4,37,8.4,195.7,15.1,      ,     ,       ,      ,      ,     
SDSS_J120747.17+024424.8   ,L8         ,T0               ,L8             ,     ,      ,      ,    ,J181.9450+02.7406,     ,     ,     ,     ,21.37,0.01,18.87,0.01,17.73,0.01,J12074717+0244249,15.58,0.07,14.56,0.06,13.99,0.06,J120746.82+024426.2,13.43,0.03,12.79,0.03,11.47,0.21,20.86,0.03,181.945006,2.740638,2011.283368,55665.75,-506.6,3.2,124.9,2.4,521.8,3.2,283.8,0.3,44.5,12.2,22.47,6.16,55.6,15.2
SDSS_J120821.72+445224.6   ,L0         ,                 ,L0             ,     ,      ,      ,    ,J182.0903+44.8734,     ,     ,     ,     ,20.15,0.02,18.74,0.02,17.75,0.01,J12082176+4452244,15.93,0.09,15.11,0.09,14.71,0.09,J120821.69+445224.6,14.42,0.03,14.14,0.04,12.05,     ,20.4,0.02,182.090341,44.8735,2011.976044,55918.75,-59.8,3.5,5.6,2.9,60.1,3.5,275.3,2.8,      ,     ,72.88,12.15,20.8,3.7
SDSS_J120906.49+323327.5   ,L0         ,                 ,L0             ,     ,      ,      ,    ,J182.2766+32.5582,     ,     ,21.74,0.05,19.67,0.01,18.04,0.01,17.08,0.01,J12090655+3233264,15.3,0.05,14.61,0.06,14.17,0.06,J120906.44+323328.8,13.93,0.03,13.57,0.03,12.22,0.38,19.79,0.01,182.276822,32.558019,2011.062314,55585.01,-102.1,2.6,198,2.9,222.8,2.8,332.7,0.7,      ,     ,55.95,9.31,59.1,9.9
SDSS_J120916.20+542949.5   ,L1         ,                 ,L1             ,     ,      ,      ,    ,J182.3175+54.4972,     ,     ,21.97,0.05,19.84,0.01,18.4,0.01,17.44,0.01,J12091619+5429499,15.52,0.06,14.66,0.06,14.22,0.06,J120916.20+542950.0,13.72,0.03,13.59,0.03,12.33,     ,20.05,0.01,182.317498,54.497249,2012.795181,56217.94,10.9,3,26.3,3.2,28.5,3.2,22.5,6.1,      ,     ,50.93,8.47,6.9,1.4
ULAS_J120943.05+065333.0   ,           ,L9               ,L9             ,     ,      ,      ,    ,J182.4294+06.8923,     ,     ,     ,     ,     ,     ,21.06,0.18,20.07,0.15,                 ,     ,     ,     ,     ,     ,     ,J120943.05+065332.7,15.67,0.05,15.18,0.09,12.19,     ,     ,     ,182.429456,6.892403,2012.181656,55993.85,116.6,11.8,-66.6,10.1,134.3,11.4,119.7,4.5,      ,     ,53.84,6.8,34.3,5.2
2MASS_J12095613-1004008    ,T3.5       ,T3               ,T3             ,     ,      ,Y     ,    ,J182.4848-10.0683,     ,     ,     ,     ,     ,     ,19.81,0.03,18.16,0.02,J12095613-1004008,15.91,0.08,15.33,0.14,15.06,0.14,J120956.32-100405.0,14.66,0.03,13.48,0.04,12.02,0.4,     ,     ,182.484792,-10.068191,2011.569391,55770.22,258.8,2.9,-358.7,5.9,442.3,5.1,144.2,0.5,45.8,1,21.83,0.48,45.8,1.1
SDSS_J121001.96+030739.2   ,           ,L4.5             ,L4.5           ,     ,      ,      ,    ,J182.5082+03.1276,     ,     ,     ,     ,21.78,0.08,20.32,0.03,19.3,0.04,                 ,     ,     ,     ,     ,     ,     ,J121001.97+030739.4,15.71,0.05,15.67,0.15,12.04,     ,     ,     ,182.508233,3.127658,2012.106913,55966.55,12.7,9.1,6,15.4,14,9.6,64.7,60.9,      ,     ,95.84,13.14,6.4,4.4
HIP_59310B                 ,           ,M7               ,M7             ,     ,      ,      ,    ,J182.5406+18.9688,20.95,0.04,19.5,0.02,17.09,0.01,15.91,0.01,15.25,0.01,J12100989+1858083,13.69,0.03,13.05,0.02,12.69,0.02,J121009.77+185807.9,12.43,0.02,12.26,0.02,12.34,0.43,     ,     ,182.540716,18.968841,2011.250185,55653.63,-153.2,1,-39.2,1.7,158.1,1.1,255.6,0.6,22.51,1.51,44.42,2.98,33.3,2.2
PSO_J182.6569-26.6197      ,           ,L2               ,L2             ,     ,      ,      ,    ,J182.6568-26.6196,     ,     ,     ,     ,21.24,0.04,19.62,0.03,18.71,0.03,J12103773-2637106,16.48,0.12,15.73,0.17,15.2,0.17,J121037.65-263710.7,14.88,0.03,14.48,0.05,12.1,     ,     ,     ,182.65693,-26.619684,2011.523915,55753.61,-97.4,5.2,-9.6,8.2,97.9,5.2,264.4,4.8,      ,     ,69.66,11.67,32.3,5.7
2MASS_J12123389+0206280    ,           ,L1               ,L1             ,     ,      ,      ,    ,J183.1413+02.1073,     ,     ,22.26,0.06,20.18,0.01,18.82,0.01,17.92,0.01,J12123389+0206280,16.13,0.13,15,0.08,14.19,0.09,J121233.92+020626.7,14.05,0.03,13.87,0.04,12.26,     ,20.52,0.03,183.141334,2.107399,2011.872197,55880.82,37.6,3,-111.9,3.1,118,3.1,161.4,1.5,      ,     ,57.99,9.67,32.4,5.5
ULAS_J121238.72+000721.9   ,           ,L0.5             ,L0.5           ,     ,      ,      ,    ,J183.1612+00.1227,     ,     ,21.82,0.08,20.03,0.02,18.64,0.01,17.65,0.01,J12123874+0007218,15.81,0.1,15.01,0.09,14.46,0.09,                   ,     ,     ,     ,     ,     ,     ,     ,     ,183.161286,0.122716,2011.535359,55757.79,-43.6,2.4,-6.9,2.8,44.1,2.4,261,3.6,      ,     ,       ,      ,      ,     
2MASSI_J1213033-043243     ,L5         ,L4.2             ,L5             ,     ,      ,      ,    ,J183.2627-04.5455,     ,     ,21.64,0.02,19.61,0.01,17.89,0.01,16.85,0.01,J12130336-0432437,14.68,0.04,13.65,0.03,13.01,0.03,J121303.07-043244.0,12.38,0.02,12.08,0.02,11.05,0.22,19.68,0.02,183.262763,-4.545599,2011.304011,55673.29,-367.8,2.4,-30,2.4,369,2.4,265.3,0.4,      ,     ,17.59,2.11,30.8,3.7
SDSS_J121304.77+152922.2   ,L1         ,                 ,L1             ,     ,      ,      ,    ,J183.2692+15.4890,     ,     ,     ,     ,20.69,0.04,19.14,0.01,18.11,0.02,J12130484+1529227,16.33,0.11,15.66,0.16,15.42,0.16,J121304.65+152920.7,14.83,0.03,14.45,0.05,12,     ,     ,     ,183.269309,15.489043,2011.322464,55680.03,-251.1,4,-201.5,2.8,322,3.6,231.3,0.6,      ,     ,75.92,12.72,115.9,19.5
ULAS_J121320.56+150235.1   ,           ,L1               ,L1             ,     ,      ,      ,    ,J183.3356+15.0430,     ,     ,     ,     ,21.8,0.04,20.72,0.11,19.72,0.03,                 ,     ,     ,     ,     ,     ,     ,J121320.53+150234.9,15.93,0.06,15.79,0.15,12.65,     ,     ,     ,183.33562,15.043051,2012.255852,56020.95,-55.2,14.4,25.2,12,60.7,13.8,294.5,12.3,      ,     ,140.66,25.14,40.5,11.7
PSO_J183.4547+40.7901      ,           ,T4               ,T4             ,     ,      ,      ,    ,J183.4546+40.7900,     ,     ,     ,     ,     ,     ,21.19,0.02,19.56,0.05,                 ,     ,     ,     ,     ,     ,     ,J121349.11+404724.5,16.55,0.08,15.03,0.08,12.53,     ,     ,     ,183.454644,40.790104,2011.845695,55871.14,-171.4,15.3,-96.8,16.9,196.8,15.7,240.5,4.8,      ,     ,33.62,3.6,31.4,4.2
ULAS_J121355.51+053517.1   ,           ,T3               ,T3             ,     ,      ,      ,    ,J183.4810+05.5879,     ,     ,     ,     ,     ,     ,22.05,0.12,20.4,0.07,                 ,     ,     ,     ,     ,     ,     ,J121355.52+053516.2,16.89,0.11,16.31,0.27,12.51,     ,     ,     ,183.481098,5.587922,2012.53117,56121.51,       ,     ,       ,    ,      ,     ,     ,     ,      ,     ,66.15,10.65,      ,     
SDSS_J121433.61+372111.9   ,L0         ,                 ,L0             ,     ,      ,      ,    ,J183.6396+37.3533,     ,     ,     ,     ,20.12,0.02,18.64,0.02,17.77,0.01,J12143365+3721117,16.19,0.09,15.5,0.12,15.07,0.12,J121433.54+372112.0,14.68,0.03,14.41,0.05,12.29,     ,20.47,0.02,183.639745,37.353324,2011.129418,55609.52,-102.6,4.5,14.9,3.3,103.7,4.5,278.3,1.8,      ,     ,82.3,13.76,40.5,7
SDSS_J121440.95+631643.4   ,           ,T3.5:            ,T3.5:          ,     ,      ,      ,    ,J183.6715+63.2787,     ,     ,     ,     ,     ,     ,20.42,0.05,18.78,0.03,J12144089+6316434,16.59,0.12,15.78,0.23,15.88,0.23,J121441.13+631643.6,14.93,0.03,13.74,0.03,12.25,0.26,     ,     ,183.671383,63.278741,2010.502779,55380.64,136.9,11,9.2,6.6,137.2,11,86.2,2.8,      ,     ,19.45,1.99,12.7,1.6
ULAS_J121508.37+040200.5   ,sdM7       ,                 ,sdM7           ,     ,      ,      ,    ,J183.7850+04.0328,     ,     ,21.32,0.11,20.04,0.03,19.28,0.02,19.01,0.03,                 ,     ,     ,     ,     ,     ,     ,J121508.54+040206.3,16.25,0.07,16.32,0.23,12.41,     ,20.6,0.03,183.785123,4.032738,2012.311759,56041.37,98.3,4.4,-239.5,4.7,258.9,4.7,157.7,1,      ,     ,276.47,54.45,339.3,67.1
PSO_J183.9318-09.7914      ,           ,L0               ,L0             ,     ,      ,      ,    ,J183.9317-09.7914,     ,     ,     ,     ,20.95,0.07,19.43,0.02,18.45,0.02,J12154368-0947289,16.33,0.13,15.45,0.14,14.85,0.14,J121543.61-094729.2,14.47,0.03,14.14,0.05,12.23,     ,     ,     ,183.93174,-9.791457,2010.922382,55533.9,-74.3,4.5,-25.1,3.8,78.4,4.4,251.3,2.8,      ,     ,72.92,12.18,27.1,4.8
2MASS_J12155348+0050498    ,M8         ,                 ,M8             ,     ,      ,      ,    ,J183.9735+00.8458,21.36,0.07,19.88,0.02,17.14,0.01,15.84,0.01,15.1,0.01,J12155348+0050498,13.49,0.03,12.81,0.03,12.38,0.03,J121553.63+005045.4,12.18,0.02,12.02,0.02,12.09,0.53,     ,     ,183.973566,0.845811,2011.710253,55821.67,213.7,1.2,-414.6,1.1,466.4,1.1,152.7,0.1,      ,     ,34.11,5.67,75.4,12.5
2MASS_J12162161+4456340    ,L5         ,                 ,L5             ,     ,      ,      ,    ,J184.0899+44.9427,     ,     ,     ,     ,21.61,0.05,19.74,0.01,18.68,0.02,J12162161+4456340,16.35,0.1,15.66,0.12,15.02,0.12,J121621.55+445634.2,14.32,0.03,14.11,0.04,12.69,0.51,     ,     ,184.089917,44.942734,2011.113128,55603.57,-34.2,6.2,-3.8,6.2,34.4,6.2,263.7,10.5,      ,     ,44.8,5.43,7.3,1.6
SDSS_J121645.58+492744.9   ,L1         ,                 ,L1             ,     ,      ,      ,    ,J184.1895+49.4624,     ,     ,22.54,0.09,20.15,0.02,18.65,0.01,17.65,0.01,J12164560+4927452,15.59,0.06,14.77,0.05,14.11,0.05,J121645.51+492744.9,13.67,0.03,13.34,0.03,12.63,     ,     ,     ,184.18959,49.462471,2012.251964,56019.53,-68.3,4.2,-23.9,2.3,72.4,4,250.7,2.1,      ,     ,45.52,7.57,15.6,2.7
SDSS_J121659.17+300306.3   ,           ,L3.5:            ,L3.5:          ,     ,      ,      ,    ,J184.2465+30.0519,     ,     ,     ,     ,     ,     ,20.26,0.03,19.25,0.03,J12165918+3003054,17.07,0.2,15.74,0.23,15.81,0.23,J121659.17+300306.8,14.94,0.03,14.71,0.06,12.51,     ,     ,     ,184.246559,30.051875,2010.122984,55241.92,-8.6,8.1,96.2,6.4,96.6,6.4,354.9,4.8,      ,     ,67.44,8.28,30.9,4.3
2MASSI_J1217110-031113     ,T7         ,T7.5             ,T7.5           ,     ,      ,      ,    ,J184.2921-03.1866,     ,     ,     ,     ,     ,     ,20.34,0.03,18.54,0.02,J12171110-0311131,15.86,0.06,15.75,     ,15.89,     ,J121710.27-031112.1,15.27,0.04,13.21,0.03,11.7,0.26,     ,     ,184.292717,-3.186736,2011.060068,55584.19,-1058,2,71.3,3.2,1060.4,2,273.9,0.2,90.8,2.2,11.01,0.27,55.3,1.4
2MASS_J12172372-0237369    ,           ,L4               ,L4             ,     ,      ,      ,    ,J184.3491-02.6268,     ,     ,     ,     ,22.08,0.09,20.26,0.02,19.29,0.03,J12172372-0237369,16.9,0.16,15.81,0.13,14.99,0.13,J121723.78-023736.6,14.55,0.03,14.24,0.05,12.37,     ,     ,     ,184.349084,-2.626894,2010.288323,55302.31,63.3,6.4,1.8,5.8,63.3,6.4,88.4,5.3,      ,     ,51.8,6.33,15.5,2.5
2MASS_J12172935+0035326    ,M7.5       ,                 ,M7.5           ,     ,      ,      ,    ,J184.3724+00.5924,20.81,0.05,19.4,0.01,16.66,0.01,15.39,0.01,14.69,0.01,J12172935+0035326,13.09,0.02,12.45,0.02,12.05,0.02,J121729.38+003532.6,11.85,0.02,11.65,0.02,11.6,0.29,     ,     ,184.372436,0.592417,2011.48063,55737.8,47.7,1.4,9,1,48.5,1.4,79.3,1.2,      ,     ,30.42,5.05,7,1.2
HIP_59933B                 ,           ,L1               ,L1             ,     ,      ,      ,    ,J184.4015+14.4531,     ,     ,21.52,0.09,20.42,0.09,18.97,0.02,17.81,0.04,J12173646+1427119,16.1,0.09,15.16,0.08,14.62,0.08,J121736.41+142711.4,14.13,0.03,13.96,0.04,12.57,     ,20.77,0.05,184.401722,14.453235,2010.016674,55203.09,-90.4,7.3,-35.2,6.3,97,7.2,248.7,3.8,17.53,0.77,57.05,2.51,26.2,2.3
ULAS_J121816.52+134953.8   ,           ,L2               ,L2             ,     ,      ,      ,    ,J184.5685+13.8315,     ,     ,     ,     ,     ,     ,     ,     ,19.92,0.06,                 ,     ,     ,     ,     ,     ,     ,J121816.48+134953.5,16.34,0.07,16.09,0.18,12.62,     ,     ,     ,184.568571,13.831563,2012.307789,56039.92,-190.4,53.5,-48.8,42,196.6,52,255.6,13.5,      ,     ,146.29,27.11,136.3,44
2MASS_J12185957-0550282    ,M8.5       ,                 ,M8.5           ,     ,      ,      ,    ,J184.7470-05.8413,     ,     ,20.86,0.04,17.99,0.01,16.57,0.01,15.73,0.01,J12185957-0550282,14.05,0.03,13.33,0.02,12.78,0.03,J121859.35-055028.6,12.59,0.02,12.36,0.03,12.51,0.53,18.26,0.01,184.747286,-5.841283,2011.115127,55604.3,-279.5,1.7,-24.6,1.9,280.6,1.7,265,0.4,      ,     ,37.63,6.25,50.1,8.3
SDSS_J121917.86+151612.4   ,L0         ,                 ,L0             ,     ,      ,      ,    ,J184.8243+15.2701,     ,     ,22.25,0.11,19.49,0.01,18.11,0.01,17.37,0.01,J12191788+1516127,15.68,0.07,15.09,0.11,14.71,0.11,J121917.86+151612.4,14.42,0.03,14.17,0.05,12.75,     ,19.91,0.01,184.824402,15.270119,2011.149487,55616.85,-26.8,3.3,-8.9,3.2,28.2,3.3,251.6,6.6,      ,     ,73.83,12.33,9.9,2
SDSS_J121951.45+312849.4   ,           ,L8               ,L8             ,     ,      ,      ,    ,J184.9636+31.4803,     ,     ,     ,     ,     ,     ,19.34,0.01,18.18,0.02,J12195156+3128497,15.91,0.08,14.91,0.07,14.31,0.07,J121951.31+312849.3,13.55,0.02,12.93,0.03,11.72,0.24,     ,     ,184.963824,31.480365,2010.704641,55454.37,-248.4,2,-20.7,3.9,249.3,2,265.2,0.9,      ,     ,20.62,2.48,24.4,2.9
ULAS_J122111.67+122217.0   ,           ,L4               ,L4             ,     ,      ,      ,    ,J185.2985+12.3713,     ,     ,     ,     ,     ,     ,21.26,0.11,20.14,0.01,                 ,     ,     ,     ,     ,     ,     ,J122111.65+122216.8,15.66,0.05,15.24,0.1,12.52,     ,     ,     ,185.298504,12.371358,2011.994579,55925.52,-120.3,38.5,-34.3,38.2,125.1,37.4,254.1,18.9,      ,     ,82.28,10.51,48.8,15.9
2MASS_J12212770+0257198    ,L0         ,M9.7FLD-G        ,L0             ,     ,FLD-G ,      ,    ,J185.3648+02.9553,21.83,0.06,19.84,0.02,17.44,0.01,15.96,0.01,14.99,0.01,J12212770+0257198,13.17,0.02,12.41,0.03,11.95,0.03,J122127.61+025719.3,11.65,0.02,11.37,0.02,10.83,0.15,17.65,0.01,185.365025,2.955357,2010.887666,55521.22,-137.9,1.1,-43.2,1.5,144.5,1.1,252.6,0.6,      ,     ,20.31,3.37,13.9,2.3
2MASS_J12215066-0843197    ,M8         ,                 ,M8             ,     ,      ,      ,    ,J185.4603-08.7220,21.28,0.06,19.76,0.02,17.07,0.01,15.81,0.01,15.1,0.01,J12215066-0843197,13.52,0.03,12.9,0.02,12.5,0.02,J122150.51-084319.5,12.3,0.02,12.08,0.02,11.92,0.31,     ,     ,185.46043,-8.722091,2011.368624,55696.89,-189.5,1.9,19.2,1.9,190.5,1.9,275.8,0.6,      ,     ,35.08,5.83,31.7,5.3
NLTT_30510B                ,           ,M9.5             ,M9.5           ,     ,      ,      ,    ,J185.5777+36.7299,     ,     ,     ,     ,20.32,0.02,18.71,0.01,17.72,0.02,J12221837+3643485,15.97,0.08,15.27,0.09,14.85,0.09,J122218.62+364348.1,14.35,0.03,14.03,0.04,12.24,     ,20.5,0.03,185.57747,36.729998,2010.592608,55413.45,213.9,5.7,-44.1,4.1,218.4,5.7,101.6,1.1,      ,     ,72.88,12.15,75.5,12.7
WISEA_J122221.95-213948.6  ,           ,L6               ,L6             ,     ,      ,      ,    ,J185.5914-21.6635,     ,     ,     ,     ,21.17,0.08,19.41,0.02,18.43,0.01,J12222222-2139466,16.09,0.1,14.99,0.09,14.25,0.06,J122221.95-213948.6,13.72,0.03,13.45,0.03,12.03,     ,     ,     ,185.5914,-21.66358,2011.272033,55661.61,-313.7,3,-170.5,4.3,357,3.3,241.5,0.6,      ,     ,30.54,3.69,51.7,6.3
ULAS_J122325.69+044827.6   ,           ,L5               ,L5             ,     ,      ,      ,    ,J185.8569+04.8076,     ,     ,     ,     ,21.44,0.03,19.67,0.04,18.67,0.01,J12232570+0448277,16.33,0.12,15.36,0.13,14.84,0.13,J122325.67+044827.5,14.02,0.03,13.74,0.04,11.86,     ,     ,     ,185.856986,4.807618,2011.03948,55576.67,-26.4,5.5,-28.8,4,39.1,4.7,222.5,7.2,      ,     ,37.87,4.59,7,1.2
BRI_B1222-1222             ,M9         ,                 ,M9             ,     ,      ,      ,    ,J186.2165-12.6438,21.02,0.05,19.27,0.02,16.65,0.01,15.2,0.01,14.3,0.01,J12245222-1238352,12.57,0.02,11.82,0.03,11.35,0.03,J122451.96-123837.6,11.05,0.02,10.82,0.02,10.42,0.09,     ,     ,186.216505,-12.643826,2010.866913,55513.64,-305.6,1.9,-187.5,2.9,358.5,2.2,238.5,0.4,58.6,3.8,17.06,1.11,29,1.9
SDSS_J122524.00-021559.7   ,L3         ,                 ,L3             ,     ,      ,      ,    ,J186.3499-02.2666,     ,     ,     ,     ,20.79,0.04,19.3,0.02,18.39,0.01,J12252397-0215599,16.55,0.11,15.65,0.13,15.04,0.13,J122524.00-021600.0,14.7,0.03,14.32,0.06,12.3,     ,     ,     ,186.349985,-2.266688,2010.718686,55459.5,17.9,4.9,-1.4,4,18,4.8,94.5,13.9,      ,     ,58.94,7.21,5,1.5
2MASS_J12255432-2739466    ,T6         ,T6               ,T6             ,     ,      ,Y     ,    ,J186.4779-27.6652,     ,     ,     ,     ,     ,     ,19.36,0.02,17.7,0.01,J12255432-2739466,15.26,0.05,15.1,0.15,15.07,0.15,J122554.66-273954.1,14.66,0.03,12.73,0.03,11.16,0.15,     ,     ,186.477729,-27.66498,2009.857769,55145.05,373.7,3.6,-615,5.2,719.6,4.8,148.7,0.3,75.1,2.5,13.32,0.44,45.4,1.5
WISE_J122558.86-101345.0   ,           ,T6               ,T6             ,     ,      ,      ,    ,J186.4951-10.2294,     ,     ,     ,     ,     ,     ,20.64,0.04,18.94,0.03,J12255900-1013413,16.43,0.1,16.3,     ,15.87,     ,J122558.86-101345.2,16.2,0.06,13.99,0.04,12.29,0.41,     ,     ,186.495292,-10.229236,2010.44898,55360.99,-172.3,1.1,-341.8,1.9,382.8,1.8,206.8,0.2,      ,     ,16.9,1.51,30.7,2.7
PSO_J186.5342+21.8364      ,           ,M9               ,M9             ,     ,      ,      ,    ,J186.5340+21.8363,     ,     ,     ,     ,21.2,0.07,19.62,0.02,18.74,0.02,J12260821+2150112,17.07,0.2,16.41,0.18,15.39,0.18,J122608.18+215010.6,15.49,0.04,15.06,0.08,11.98,     ,     ,     ,186.534111,21.836367,2009.896016,55159.02,-24.2,4,-34.3,10.6,42,8.7,215.2,10.4,      ,     ,123.76,21,24.6,6.6
2MASS_J12270506-0447207    ,esdM7.5    ,                 ,esdM7.5        ,     ,      ,      ,    ,J186.7695-04.7882,20.8,0.04,18.95,0.01,17.54,0.01,16.88,0.01,16.62,0.01,J12270506-0447207,15.49,0.05,15.2,0.06,14.87,0.12,J122704.69-044718.0,14.64,0.03,14.45,0.06,12.02,     ,     ,     ,186.769528,-4.788306,2010.867899,55514,-487.3,2.8,239.2,3,542.8,2.8,296.1,0.3,      ,     ,110.36,18.54,284,47.7
SDSS_J122711.07+021349.1   ,L0         ,                 ,L0             ,     ,      ,      ,    ,J186.7960+02.2302,     ,     ,     ,     ,20.74,0.03,19.28,0.01,18.48,0.02,J12271106+0213488,16.62,0.18,16.28,0.23,15.57,0.23,J122711.05+021348.8,15.46,0.05,15.24,0.11,12.38,     ,     ,     ,186.796061,2.230245,2010.522519,55387.85,-9.4,4.8,5.4,6.6,10.8,4.9,299.9,37.3,      ,     ,121.06,21,6.2,3
2MASS_J12271545-0636458    ,M9         ,M8.1INT-G        ,M9             ,     ,INT-G ,      ,Y   ,J186.8138-06.6130,     ,     ,20.89,0.04,18.21,0.01,16.74,0.01,15.86,0.01,J12271545-0636458,14.2,0.03,13.39,0.04,12.88,0.04,J122715.36-063646.6,12.53,0.02,12.28,0.02,11.56,0.24,18.49,0.01,186.814012,-6.612966,2010.391978,55340.17,-113.5,1.7,-57,2.9,127,2,243.3,1.2,      ,     ,34.37,5.71,20.7,3.5
