Name,SpTopt,SpTnir,SpT,GravOpt,GravNIR,Binary,Young,PS1,PS1gmag,e_PS1gmag,PS1rmag,e_PS1rmag,PS1imag,e_PS1imag,PS1zmag,e_PS1zmag,PS1ymag,e_PS1ymag,2MASS,Jmag,e_Jmag,Hmag,e_Hmag,Ksmag,e_Ksmag,AllWISE,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,Gmag,e_Gmag,RAJ2000,DEJ2000,PS1ep,Epoch,pmRA,e_pmRA,pmDE,e_pmDE,pm,e_pm,pmPA,e_pmPA,plx,e_plx,Dist,e_Dist,vtan,e_vtan
SDSS_J082647.33+041156.5   ,M3         ,                 ,M3             ,     ,      ,      ,    ,J126.6970+04.1991,18.68,0.01,17.33,0.01,16.13,0.01,15.58,0.01,15.31,0.01,J08264732+0411565,14.09,0.03,13.53,0.03,13.31,0.04,J082647.30+041156.7,13.1,0.02,12.92,0.03,11.93,     ,16.85,0.03,126.697092,4.199125,2014.574812,56867.95,-5.4,17.3,39.2,8.1,39.6,8.9,352.1,22.7,      ,     ,226.92,20.92,42.6,10.3
SDSS_J082654.85+210214.9   ,M2         ,                 ,M2             ,     ,      ,      ,    ,J126.7285+21.0373,19.17,0.01,17.97,0.01,16.96,0.01,16.49,0.01,16.26,0.01,J08265484+2102149,15.17,0.04,14.51,0.06,14.35,0.05,J082654.85+210214.6,14.24,0.03,14.07,0.05,12.55,     ,17.64,0.01,126.728587,21.037379,2014.310609,56771.45,10.7,0.7,-30.7,5.6,32.5,5.3,160.7,3.8,      ,     ,482.27,44.46,74.3,13.9
SDSS_J082720.21+450203.5   ,M8         ,                 ,M8             ,     ,      ,      ,    ,J126.8332+45.0333,21.34,0.05,19.82,0.01,17.14,0.01,15.8,0.01,15.04,0.01,J08272028+4502043,13.38,0.02,12.74,0.02,12.34,0.02,J082720.02+450200.4,12.07,0.02,11.89,0.02,11.63,0.23,     ,     ,126.833292,45.033324,2011.942505,55906.5,-221.1,2.9,-307.7,2.9,378.9,2.9,215.7,0.4,      ,     ,32.02,5.32,57.5,9.6
SDSS_J082723.78+291744.3   ,M5         ,                 ,M5             ,     ,      ,      ,    ,J126.8489+29.2954,21.08,0.06,19.82,0.01,17.92,0.01,17.06,0.01,16.63,0.01,J08272379+2917444,15.31,0.04,14.77,0.05,14.46,0.07,J082723.74+291743.6,14.28,0.03,14.06,0.05,12.54,     ,18.48,0.01,126.848933,29.295456,2011.993785,55925.23,-61.8,2.1,-52.2,2.5,80.9,2.3,229.8,1.7,      ,     ,164.17,15.14,63,6.1
SDSS_J082741.07+202957.8   ,M3         ,                 ,M3             ,     ,      ,      ,    ,J126.9211+20.4993,18.68,0.01,17.38,0.01,16.19,0.01,15.65,0.01,15.39,0.01,J08274107+2029580,14.17,0.03,13.65,0.04,13.33,0.03,J082741.07+202957.7,13.23,0.03,13.06,0.03,12.11,     ,16.73,0.01,126.921149,20.499327,2014.378727,56796.33,1,0.8,-18.4,1.6,18.4,1.6,176.8,2.4,      ,     ,233.49,21.53,20.4,2.6
SDSS_J082745.00+260842.1   ,M4         ,                 ,M4             ,     ,      ,      ,    ,J126.9374+26.1450,19.12,0.01,17.92,0.01,16.46,0.01,15.79,0.01,15.47,0.01,J08274500+2608420,14.25,0.03,13.62,0.03,13.36,0.04,J082744.98+260842.1,13.18,0.02,13.02,0.03,12.18,     ,17.03,0.01,126.937426,26.145009,2014.54872,56858.42,-21.3,0.9,3.2,0.7,21.6,0.9,278.5,1.9,      ,     ,162.41,14.97,16.6,1.7
SDSS_J082750.45+205038.0   ,M2         ,                 ,M2             ,     ,      ,      ,    ,J126.9601+20.8437,19.07,0.01,17.89,0.01,16.91,0.01,16.47,0.01,16.25,0.01,J08275043+2050381,15.13,0.04,14.39,0.06,14.19,0.05,J082750.43+205037.7,14.19,0.03,14.05,0.05,12.31,     ,17.4,0.01,126.960179,20.843779,2014.447557,56821.47,-5,1.3,-28.3,1.1,28.7,1.1,190,2.6,      ,     ,471.24,43.45,64.1,6.4
SDSS_J082817.63+331945.7   ,M3         ,                 ,M3             ,     ,      ,      ,    ,J127.0735+33.3296,19.35,0.01,17.98,0.01,16.54,0.01,15.89,0.01,15.58,0.01,J08281761+3319455,14.36,0.03,13.78,0.04,13.46,0.04,J082817.65+331946.4,13.33,0.02,13.11,0.03,11.7,     ,17.11,0.01,127.07358,33.329632,2014.586256,56872.13,33.5,3.1,83,1,89.5,1.5,22,1.9,      ,     ,274.56,25.31,116.5,10.9
SDSS_J082818.50+395452.3   ,M2         ,                 ,M2             ,     ,      ,      ,    ,J127.0770+39.9144,18.44,0.01,17.14,0.01,16.18,0.01,15.73,0.04,15.36,0.01,J08281849+3954526,14.13,0.03,13.47,0.03,13.27,0.04,J082818.47+395452.4,13.07,0.02,12.95,0.03,12.6,     ,16.81,0.01,127.077011,39.914469,2014.594415,56875.11,34.8,29.9,-104.1,50.2,110,45.3,161.5,24.8,      ,     ,337.75,31.14,176.1,74.3
SDSS_J082820.55+082141.5   ,M3         ,                 ,M3             ,     ,      ,      ,    ,J127.0857+08.3614,19.16,0.01,17.82,0.01,16.46,0.01,15.86,0.01,15.57,0.01,J08282054+0821417,14.36,0.04,13.8,0.04,13.49,0.04,J082820.57+082141.3,13.38,0.03,13.16,0.03,12.08,     ,17.06,0.01,127.085752,8.361482,2014.652101,56896.18,41.2,1.6,-16.7,1.5,44.5,1.6,112,1.9,      ,     ,263.97,24.34,55.7,5.5
